Year,GDP,GDPRealRate,Labor,Kapital,KR,Technology,Energy,HR,CPI
1952,679.0000 ,,20729.0000 ,80.7000 ,1.0000 ,,,11.0300 ,1.0267 
1953,824.1897 ,1.1562 ,21364.0000 ,115.3000 ,1.4460 ,0.5600 ,5411.0000 ,19.2500 ,1.0511 
1954,859.3842 ,1.0421 ,21832.0000 ,140.9000 ,1.2300 ,1.2200 ,6234.0000 ,19.9700 ,1.0140 
1955,910.7844 ,1.0685 ,22328.0000 ,145.5000 ,1.0790 ,2.1300 ,6968.0000 ,19.0000 ,1.0032 
1956,1028.9813 ,1.1502 ,23018.0000 ,219.6000 ,1.5140 ,5.2300 ,8800.0000 ,26.5300 ,0.9992 
1957,1069.2901 ,1.0506 ,23771.0000 ,187.0000 ,0.8890 ,5.2300 ,9644.0000 ,27.9800 ,1.0259 
1958,1308.2091 ,1.2125 ,26600.0000 ,333.0000 ,1.7740 ,11.2400 ,17599.0000 ,25.5700 ,0.9889 
1959,1440.3638 ,1.0882 ,26173.0000 ,435.7000 ,1.2070 ,19.1500 ,23926.0000 ,33.3600 ,1.0032 
1960,1457.4730 ,0.9968 ,25880.0000 ,473.0000 ,1.0890 ,33.8100 ,30188.0000 ,46.3400 ,1.0255 
1961,1220.9373 ,0.7268 ,25590.0000 ,227.6000 ,0.4900 ,19.4900 ,20390.0000 ,33.2100 ,1.1615 
1962,1151.2390 ,0.9439 ,25910.0000 ,175.1000 ,0.7170 ,13.7300 ,16540.0000 ,27.9100 ,1.0381 
1963,1236.3672 ,1.1021 ,26640.0000 ,215.3000 ,1.1730 ,18.6100 ,15567.0000 ,30.0100 ,0.9408 
1964,1455.5394 ,1.1826 ,27736.0000 ,290.3000 ,1.3770 ,24.2700 ,16637.0000 ,35.9400 ,0.9630 
1965,1717.2038 ,1.1703 ,28670.0000 ,350.1000 ,1.2470 ,27.1700 ,18901.0000 ,37.0000 ,0.9879 
1966,1873.0786 ,1.1073 ,29805.0000 ,406.8000 ,1.1850 ,25.0600 ,20269.0000 ,41.8200 ,0.9878 
1967,1780.2815 ,0.9430 ,30814.0000 ,323.7000 ,0.7930 ,15.3500 ,18328.0000 ,36.9200 ,0.9934 
1968,1730.1643 ,0.9591 ,31915.0000 ,300.2000 ,0.9600 ,14.8000 ,18405.0000 ,27.5000 ,1.0007 
1969,1945.7811 ,1.1689 ,33225.0000 ,406.9000 ,1.3870 ,24.1500 ,22730.0000 ,27.0400 ,1.0095 
1970,2261.3241 ,1.1940 ,34432.0000 ,545.9000 ,1.3420 ,29.9600 ,29291.0000 ,27.5600 ,1.0000 
1971,2435.2568 ,1.0705 ,35620.0000 ,603.0000 ,1.0930 ,37.6800 ,34496.0000 ,35.2800 ,0.9993 
1972,2530.2241 ,1.0377 ,35854.0000 ,622.1000 ,1.0190 ,36.1000 ,37273.0000 ,41.4500 ,1.0015 
1973,2733.3537 ,1.0786 ,36652.0000 ,664.5000 ,1.0670 ,34.5900 ,39109.0000 ,45.8700 ,1.0007 
1974,2803.7426 ,1.0231 ,37369.0000 ,748.1000 ,1.1240 ,34.6500 ,40144.0000 ,55.1800 ,1.0065 
1975,3013.1108 ,1.0869 ,38168.0000 ,880.3000 ,1.1630 ,40.3100 ,45425.0000 ,53.1800 ,1.0043 
1976,2961.4727 ,0.9838 ,38834.0000 ,865.1000 ,0.9760 ,39.2500 ,47831.0000 ,61.9000 ,1.0029 
1977,3221.0518 ,1.0762 ,39377.0000 ,911.1000 ,1.0380 ,41.4800 ,52354.0000 ,64.6800 ,1.0272 
1978,3645.2175 ,1.1167 ,40152.0000 ,1073.9000 ,1.1720 ,52.8900 ,57144.0000 ,75.0500 ,1.0070 
1979,4062.5792 ,1.0757 ,41024.0000 ,1153.1000 ,1.0510 ,62.2900 ,58588.0000 ,93.1600 ,1.0187 
1980,4545.6240 ,1.0784 ,42361.0000 ,1322.4000 ,1.1130 ,64.5900 ,60275.0000 ,114.1500 ,1.0753 
1981,4891.5611 ,1.0524 ,43725.0000 ,1339.3000 ,0.9810 ,61.5800 ,59447.0000 ,122.7900 ,1.0252 
1982,5323.3510 ,1.0906 ,45295.0000 ,1503.2000 ,1.0970 ,65.2900 ,62067.0000 ,137.6100 ,1.0203 
1983,5962.6516 ,1.1085 ,46436.0000 ,1723.3000 ,1.1190 ,79.1000 ,66040.0000 ,155.2400 ,1.0199 
1984,7208.0517 ,1.1518 ,48197.0000 ,2147.0000 ,1.1970 ,94.7200 ,70904.0000 ,180.8800 ,1.0272 
1985,9016.0366 ,1.1347 ,49873.0000 ,2672.0000 ,1.1610 ,102.5900 ,76682.0000 ,226.8300 ,1.0933 
1986,10275.1792 ,1.0885 ,51282.0000 ,3139.7000 ,1.1040 ,112.5700 ,80850.0000 ,274.7200 ,1.0648 
1987,12058.6151 ,1.1158 ,52783.0000 ,3798.7000 ,1.1500 ,113.7900 ,86632.0000 ,293.9300 ,1.0732 
1988,15042.8230 ,1.1128 ,54334.0000 ,4701.9000 ,1.0900 ,121.1200 ,92997.0000 ,356.6600 ,1.1876 
1989,16992.3191 ,1.0406 ,55329.0000 ,4419.4000 ,0.8660 ,127.8700 ,96934.0000 ,412.3900 ,1.1801 
1990,18667.8224 ,1.0384 ,64749.0000 ,4827.8000 ,1.0360 ,139.1200 ,98703.0000 ,462.4500 ,1.0312 
1991,21781.4994 ,1.0918 ,65491.0000 ,6070.3000 ,1.1590 ,160.6900 ,103783.0000 ,532.3900 ,1.0338 
1992,26923.4765 ,1.1424 ,66152.0000 ,8513.7000 ,1.2410 ,189.2600 ,109170.0000 ,538.7382 ,1.0642 
1993,35333.9247 ,1.1396 ,66808.0000 ,13309.2000 ,1.2500 ,225.6100 ,115993.0000 ,644.3914 ,1.1470 
1994,48197.8564 ,1.1308 ,67455.0000 ,17312.7000 ,1.1790 ,268.2500 ,122737.0000 ,883.9795 ,1.2408 
1995,60793.7292 ,1.1092 ,68065.0000 ,20885.0000 ,1.1380 ,302.3600 ,131176.0000 ,1028.3930 ,1.1711 
1996,71176.5917 ,1.1001 ,68950.0000 ,24048.1000 ,1.1080 ,348.6300 ,135192.0000 ,1211.9134 ,1.0830 
1997,78973.0350 ,1.0930 ,69820.0000 ,25965.0000 ,1.0620 ,408.8600 ,135909.0000 ,1357.7262 ,1.0281 
1998,84402.2798 ,1.0783 ,70637.0000 ,28569.0000 ,1.1000 ,438.6000 ,136184.0000 ,1565.5917 ,0.9920 
1999,89677.0548 ,1.0762 ,71394.0000 ,30527.3000 ,1.0730 ,543.8500 ,140569.0000 ,1815.7597 ,0.9860 
2000,99214.5543 ,1.0843 ,72085.0000 ,33844.4000 ,1.0970 ,575.6200 ,145531.0000 ,2085.6792 ,1.0040 
2001,109655.1706 ,1.0830 ,72797.0000 ,37754.5000 ,1.1110 ,703.2600 ,150406.0000 ,2582.3762 ,1.0070 
2002,120332.6893 ,1.0908 ,73280.0000 ,43632.1000 ,1.1530 ,816.2200 ,159431.0000 ,3114.2383 ,0.9919 
2003,135822.7561 ,1.1003 ,73736.0000 ,53490.7000 ,1.1990 ,975.5400 ,183792.0000 ,3453.8583 ,1.0119 
2004,159878.3379 ,1.1009 ,74264.0000 ,65117.7000 ,1.1460 ,1095.3400 ,213456.0000 ,4027.8158 ,1.0390 
2005,184937.3690 ,1.1131 ,74647.0000 ,74232.9000 ,1.1220 ,1334.9100 ,235997.0000 ,4665.6939 ,1.0180 
2006,216314.4259 ,1.1268 ,74978.0000 ,87954.1000 ,1.1673 ,1688.5000 ,258676.0000 ,5795.6138 ,1.0150 
2007,265810.3058 ,1.1416 ,75321.0000 ,103948.6000 ,1.1375 ,1783.0400 ,280508.0000 ,7654.9082 ,1.0481 
2008,314045.4271 ,1.0963 ,75564.0000 ,128084.4000 ,1.1315 ,2129.2100 ,291448.0000 ,9685.5602 ,1.0590 
2009,340902.8126 ,1.0921 ,75828.0000 ,156679.8000 ,1.2533 ,2744.5200 ,306647.0000 ,11419.3032 ,0.9930 
2010,401202.0284 ,1.1044 ,76105.0000 ,182340.4000 ,1.1233 ,3250.1800 ,324939.0000 ,12550.0200 ,1.0330 
